lambda1,P11_Pow(I1),P11_Pow(I2),P11_Exp(I1),P11_Exp(I2),P11_Pow(I4),P11_Pow(I6),P11_Exp(I4),P11_Exp(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Exp(I1),P22_Exp(I2),P22_Pow(I4),P22_Pow(I6),P22_Exp(I4),P22_Exp(I6)
1.0464646464646465,0.00024160119028530125,0.0005035371617227234,2.1224478100118244e-05,1.645327584096984e-05,3.871059972557569e-05,0.0028249630004115647,1.658329940593505e-05,0.009421483987700135,1.0464646464646465,3.624017854279776e-05,7.553057425840837e-05,3.1836717150174464e-06,2.467991376145476e-06,0.0,0.0,0.0,0.0
1.0484848484848486,0.0003000261071844435,0.0006306814671599418,2.6307591854921505e-05,2.064211343523811e-05,4.040884908681705e-05,0.0029302056230589933,1.7316007370515705e-05,0.009754920840072526,1.0484848484848486,4.5003916077666526e-05,9.460222007400377e-05,3.9461387782382255e-06,3.0963170152861416e-06,0.0,0.0,0.0,0.0
1.0505050505050506,0.00036924985776815716,0.0007824498502340627,3.231901919575082e-05,2.565018829969757e-05,4.2108350779039615e-05,0.003034153816087631,1.804969890381979e-05,0.010083031739317141,1.0505050505050506,5.538747866522698e-05,0.0001173674775351094,4.847852879362622e-06,3.847528244954393e-06,0.0,0.0,0.0,0.0
1.0525252525252524,0.00045070237917691863,0.0009622689248451536,3.937972365761899e-05,3.1592920573948456e-05,4.3809103314748914e-05,0.003136825943839733,1.8784375122106787e-05,0.010405920964762328,1.0525252525252524,6.760535687653779e-05,0.0001443403387267736,5.906958548643274e-06,4.738938086092269e-06,0.0,0.0,0.0,0.0
1.0545454545454545,0.0005459334849378994,0.0011738662898316931,4.762056151539837e-05,3.859604916303348e-05,4.551110521107101e-05,0.0032382400755843303,1.952003714738825e-05,0.010723690360926325,1.0545454545454545,8.189002274068491e-05,0.000176079943474754,7.143084227309756e-06,5.789407374455014e-06,0.0,0.0,0.0,0.0
1.0565656565656565,0.0006566174471015803,0.0014212818594431798,5.7182640373326424e-05,4.679603568917128e-05,4.721435498972735e-05,0.0033384139908110982,2.0256686107424934e-05,0.011036439403592356,1.0565656565656565,9.849261706521375e-05,0.00021319227891643312,8.57739605599735e-06,7.019405353373906e-06,0.0,0.0,0.0,0.0
1.0585858585858585,0.0007845575509915419,0.0017088789573183642,6.821767534586638e-05,5.6340461332607396e-05,4.8918851177012996e-05,0.003437365184419467,2.099432313572473e-05,0.011344265263845153,1.0585858585858585,0.000117683632648726,0.00025633184359775464,1.0232651301879956e-05,8.451069199891091e-06,0.0,0.0,0.0,0.0
1.0606060606060606,0.0009316906239897781,0.0020413551734333826,8.08883431636773e-05,6.7388416716055e-05,5.062459230377372e-05,0.0035351108718051014,2.173294937154034e-05,0.011647262870138446,1.0606060606060606,0.00013975359359849005,0.00030620327601506184,1.213325147455359e-05,1.010826250741054e-05,0.0,0.0,0.0,0.0
1.0626262626262626,0.0011000915398424894,0.0024237529843572562,9.536863457147177e-05,8.011088506430658e-05,5.2331576905383244e-05,0.003631667993846042,2.2472565959867863e-05,0.011945524968461439,1.0626262626262626,0.0001650137309763798,0.00036356294765355844,1.4305295185720749e-05,1.2016632759643993e-05,0.0,0.0,0.0,0.0
1.0646464646464646,0.0012919777000304934,0.002861470137935488,0.00011184420542031588,9.469111894918139e-05,5.403980352172027e-05,0.0037270532217905886,2.3213174051443813e-05,0.012239142180669283,1.0646464646464646,0.00019379665500457403,0.00042922052069040265,1.6776630813047383e-05,1.4203667842380037e-05,0.0,0.0,0.0,0.0
1.0666666666666667,0.0015097134937897734,0.003360269804196999,0.0001305127268954762,0.00011132501100946726,5.574927069714646e-05,0.0038212829620491596,2.3954774802743606e-05,0.012528203061040084,1.0666666666666667,0.00022645702406845882,0.0005040404706294632,1.9576909034320583e-05,1.6698751651415753e-05,0.0,0.0,0.0,0.0
1.0686868686868687,0.0017558147383990067,0.003926290494822145,0.00015158423536200486,0.00013022145911568763,5.74599769804843e-05,0.0039143733608920876,2.469736937598047e-05,0.012812794151118842,1.0686868686868687,0.0002633722107598681,0.0005889435742233628,2.2737635304301685e-05,1.9533218867353875e-05,0.0,0.0,0.0,0.0
1.0707070707070707,0.002032953101387343,0.004566055754094248,0.00017528148235658515,0.00015160272653634587,5.917192092499469e-05,0.004006340309055454,2.5440958939102306e-05,0.013093000032906268,1.0707070707070707,0.0003049429652080829,0.0006849083631140907,2.6292222353486716e-05,2.274040898044883e-05,0.0,0.0,0.0,0.0
1.0727272727272728,0.0023439605063212687,0.00528648362457218,0.0002018402853015952,0.00017570479774593195,6.088510108835513e-05,0.004097199446256824,2.618554466579114e-05,0.013368903380448285,1.0727272727272728,0.00035159407594819033,0.000792972543685776,3.0276042795239282e-05,2.635571966188816e-05,0.0,0.0,0.0,0.0
1.0747474747474748,0.002691833523864351,0.006094895891228025,0.00023150987957243571,0.0002027777306105626,6.259951603263816e-05,0.004186966165622974,2.693112773546102e-05,0.013640585009880007,1.0747474747474748,0.00040377502857965263,0.0009142343836842038,3.472648193586536e-05,3.041665959158432e-05,0.0,0.0,0.0,0.0
1.0767676767676768,0.003079737749792531,0.006999027107988402,0.0002645532726048773,0.00023308600577916921,6.431516432428997e-05,0.004275655618031289,2.767770933325675e-05,0.013908123927976093,1.0767676767676768,0.00046196066246887937,0.0010498540661981214,3.968299089073022e-05,3.496290086687032e-05,0.0,0.0,0.0,0.0
1.0787878787878789,0.003511012171668404,0.008007033410963338,0.0003012476007930175,0.0002669088742111946,6.603204453410746e-05,0.004363282716366863,2.8425290650052176e-05,0.014171597379257068,1.0787878787878789,0.0005266518257502475,0.0012010550116444785,4.518714011895263e-05,4.003633113167919e-05,0.0,0.0,0.0,0.0
1.0808080808080809,0.003989173525875023,0.00912750112284888,0.00034188448999530077,0.00030454070387751265,6.775015523721923e-05,0.004449862139696928,2.9173872882449142e-05,0.014431080891699862,1.0808080808080809,0.0005983760288812681,0.001369125168427332,5.128267349929511e-05,4.568110558162704e-05,0.0,0.0,0.0,0.0
1.0828282828282827,0.004517920646703858,0.010369455153148325,0.0003867704205385757,0.0003462913267824418,6.946949501306185e-05,0.004535408337364495,2.992345723277614e-05,0.01468664832109879,1.0828282828282827,0.0006776880970055638,0.0015554182729722488,5.801556308078635e-05,5.1943699017366275e-05,0.0,0.0,0.0,0.0
1.0848484848484847,0.005101138809196615,0.011742367199048701,0.00043622709769005805,0.00039248638757521703,7.119006244536111e-05,0.004619935533002875,3.0674044909086905e-05,0.014938371894121501,1.0848484848484847,0.0007651708213794434,0.0017613550798573007,6.543406465350503e-05,5.8872958136278394e-05,0.0,0.0,0.0,0.0
1.0868686868686868,0.005742904067426161,0.013256163751874247,0.0004905918286503085,0.00044346769514345177,7.291185612210988e-05,0.004703457728472653,3.142563712515991e-05,0.015186322250102698,1.0868686868686868,0.0008614356101139059,0.0019884245627810704,7.358877429754427e-05,6.652015427151472e-05,0.0,0.0,0.0,0.0
1.0888888888888888,0.006447487589898859,0.014921233914153032,0.0005502179072129632,0.000499593578715551,7.463487463554679e-05,0.004785988707722955,3.217823510049623e-05,0.015430568481617425,1.0888888888888888,0.0009671231384848672,0.0022381850871230837,8.253268608194881e-05,7.493903680733598e-05,0.0,0.0,0.0,0.0
1.0909090909090908,0.007219359993748649,0.016748437032384222,0.0006154750073345661,0.0005612392501395438,7.635911658213708e-05,0.004867542040578432,3.293184006031977e-05,0.015671178173873344,1.0909090909090908,0.0010829039990622974,0.0025122655548576334,9.232125110018491e-05,8.418588752093157e-05,0.0,0.0,0.0,0.0
1.0929292929292929,0.008063195679374508,0.018749110150626316,0.0006867495869625373,0.0006287971741553813,7.808458056255156e-05,0.004948131086453584,3.3686453235575944e-05,0.015908217442960764,1.0929292929292929,0.0012094793519061991,0.002812366522594103,0.0001030124380443831,9.43195761233126e-05,0.0,0.0,0.0,0.0
1.094949494949495,0.008983877167179244,0.020935075290110145,0.0007644453035847376,0.000702677448638551,7.981126518164547e-05,0.005027768997995952,3.444207586293042e-05,0.016141750972997398,1.094949494949495,0.0013475815750768872,0.0031402612935165176,0.00011466679553771065,0.00010540161729578265,0.0,0.0,0.0,0.0
1.096969696969697,0.009986499438032492,0.023318646559991142,0.0008489834430830548,0.0007833081969580907,8.153916904843881e-05,0.005106468724659682,3.519870918476916e-05,0.01637184205220351,1.096969696969697,0.0014979749157048494,0.0034977969839986712,0.00012734751646245832,0.00011749622954371375,0.0,0.0,0.0,0.0
1.098989898989899,0.011076374279070355,0.02591263710447024,0.0009408033636044796,0.0008711359747754397,8.326829077609727e-05,0.005184243016210864,3.595635444919725e-05,0.016598552607942067,1.098989898989899,0.0016614561418605545,0.003886895565670541,0.00014112050454067194,0.00013067039621631596,0.0,0.0,0.0,0.0
1.101010101010101,0.012259034636453954,0.028730365891359355,0.0010403629563041185,0.0009666261937954908,8.499862898191004e-05,0.005261104426166117,3.6715012910038615e-05,0.016821943240757004,1.101010101010101,0.0018388551954680366,0.004309554883703606,0.00015605444344561452,0.00014499392906931378,0.0,0.0,0.0,0.0
1.103030303030303,0.013540238976643545,0.03178566434723831,0.0011481391249601818,0.0010702635651864227,8.673018228727233e-05,0.005337065315165823,3.747468582683509e-05,0.017042073257441767,1.103030303030303,0.0020310358464966215,0.004767849652086058,0.00017222086874403388,0.00016053953477797672,0.0,0.0,0.0,0.0
1.105050505050505,0.014925975657785261,0.03509288284430419,0.001264628286624373,0.0011825525655986796,8.846294931766428e-05,0.005412137854283295,3.823537446484698e-05,0.017259000703168985,1.105050505050505,0.0022388963486677884,0.0052639324266456275,0.00018969424299365595,0.00017738288483980195,0.0,0.0,0.0,0.0
1.107070707070707,0.016422467312735348,0.03866689704381934,0.0013903468956384607,0.0013040179289355081,9.019692870263125e-05,0.005486334028271316,3.899708009505126e-05,0.017472782392711154,1.107070707070707,0.0024633700969103,0.005800034556572901,0.0002085520343457689,0.00019560268934032648,0.0,0.0,0.0,0.0
1.1090909090909091,0.0180361752452882,0.0425231141012576,0.0015258319935334875,0.0014352051672776515,9.19321190757655e-05,0.005559665638747229,3.975980399414261e-05,0.017683473940781104,1.1090909090909091,0.0027054262867932657,0.0063784671151886395,0.00022887479903002314,0.00021528077509164772,0.0,0.0,0.0,0.0
1.1111111111111112,0.019773803841099568,0.046677478737919324,0.0016716417875199479,0.0015766811246117581,9.366851907468686e-05,0.0056321443073179735,4.052354744453249e-05,0.01789112979152009,1.1111111111111112,0.0029660705761649355,0.007001621810687899,0.0002507462681279922,0.00023650216869176372,0.0,0.0,0.0,0.0
1.1131313131313132,0.0216423049948164,0.051146479183902645,0.001828356260487753,0.0017290345672916411,9.540612734102144e-05,0.005703781478646174,4.128831173434941e-05,0.01809580324716017,1.1131313131313132,0.003246345749222618,0.007671971877586073,0.000274253439073176,0.0002593551850937706,0.0,0.0,0.0,0.0
1.1151515151515152,0.023648882554907085,0.055947152997137074,0.0019965778156576575,0.0018928768154472106,9.714494252038527e-05,0.005774588423458627,4.205409815743867e-05,0.018297546495887003,1.1151515151515152,0.003547332383236105,0.008392072949570997,0.00029948667234865804,0.00028393152231709655,0.0,0.0,0.0,0.0
1.117171717171717,0.025800996787635824,0.061097092763135304,0.0021769319592626142,0.0020688424198662533,9.888496326236401e-05,0.005844576241498284,4.282090801336212e-05,0.018496410638927818,1.117171717171717,0.0038701495181453728,0.009164563914469825,0.00032653979388939214,0.0003103263629799183,0.0,0.0,0.0,0.0
1.119191919191919,0.02810636886165126,0.0666144516800316,0.0023700680248937484,0.002257589889203221,0.00010062618822049446,0.0059137558644209165,4.358874260739911e-05,0.01869244571688888,1.119191919191919,0.004215955329247827,0.009992167752005222,0.00035551020373407254,0.0003386384833805048,0.0,0.0,0.0,0.0
1.121212121212121,0.030572985354624396,0.07251794903347897,0.0025766599434188862,0.0024598024727223943,0.00010236861605224538,0.005982138058637593,4.435760325054565e-05,0.01888570073536546,1.121212121212121,0.00458594780319366,0.010877692355021847,0.0003864989915128329,0.00036897037090835886,0.0,0.0,0.0,0.0
1.1232323232323231,0.033209102783313384,0.0788268755655635,0.0027974070626688883,0.0026761890041467097,0.00010411224541900029,0.006049733428104089,4.5127491259515194e-05,0.01907622368984723,1.1232323232323231,0.004981365417497008,0.011824031334834527,0.0004196110594003333,0.00040142835062200594,0.0,0.0,0.0,0.0
1.1252525252525252,0.036023252158520945,0.08556109874233796,0.003033035021406701,0.0029074848126026637,0.00010585707498603691,0.006116552417058321,4.5898407956739055e-05,0.019264061589940436,1.1252525252525252,0.005403487823778146,0.012834164811350704,0.00045495525321100517,0.00043612272189039457,0.0,0.0,0.0,0.0
1.1272727272727272,0.03902424356625822,0.09274106792391965,0.003284296682420329,0.0031544527070590336,0.0001076031034225115,0.006182605312706819,4.6670354670366466e-05,0.019449260482928013,1.1272727272727272,0.005853636534938734,0.013911160188588357,0.0004926445023630494,0.0004731679060588656,0.0,0.0,0.0,0.0
1.1292929292929292,0.042221170776536365,0.10038781944140306,0.0035519731299456644,0.0034178840411317655,0.0001093503294014378,0.00624790224786133,4.744333273426501e-05,0.019631865476687903,1.1292929292929292,0.0063331756164804,0.01505817291621046,0.0005327959694918494,0.0005126826061697642,0.0,0.0,0.0,0.0
