lambda1,P11_Pow(I1),P11_Pow(I2),P11_Exp(I1),P11_Exp(I2),P11_Pow(I4),P11_Pow(I6),P11_Exp(I4),P11_Exp(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Exp(I1),P22_Exp(I2),P22_Pow(I4),P22_Pow(I6),P22_Exp(I4),P22_Exp(I6)
1.1130653266331658,0.028558854646972373,0.22610136927448532,2.3739621912404927e-05,3.136023420093734e-05,0.04664359319884129,0.02758776691346678,0.0046033052031122755,0.24468823467517997,1.1130653266331658,0.028558854646972623,0.22610136927448532,2.373962191240513e-05,3.136023420093734e-05,0.0,0.0,0.0,0.0
1.120603015075377,0.031721209318321134,0.24556049919086353,2.705584668614942e-05,3.4068443728055655e-05,0.050177007154814435,0.02882283121530399,0.004927082316289907,0.2507550511754491,1.120603015075377,0.03172120931832116,0.24556049919086487,2.7055846686149568e-05,3.4068443728055764e-05,0.0,0.0,0.0,0.0
1.1281407035175879,0.03493618674813935,0.26457433958499377,3.064862517525515e-05,3.670632242928662e-05,0.0537662005904925,0.030003239446124003,0.0052530738692717245,0.25627000925063004,1.1281407035175879,0.034936186748139114,0.2645743395849933,3.064862517525489e-05,3.6706322429286596e-05,0.0,0.0,0.0,0.0
1.135678391959799,0.03817152830459902,0.28296657432626793,3.450560725921311e-05,3.925141590982833e-05,0.05741167253018126,0.03113175159421467,0.005581299243803191,0.26129192674479557,1.135678391959799,0.03817152830459902,0.28296657432626704,3.450560725921311e-05,3.925141590982822e-05,0.0,0.0,0.0,0.0
1.14321608040201,0.041400970159939696,0.3006151568622175,3.860941187234737e-05,4.168964308804893e-05,0.06111392309491773,0.032210971267279856,0.00591177808987502,0.26587233945881,1.14321608040201,0.04140097015993972,0.3006151568622184,3.8609411872347394e-05,4.168964308804901e-05,0.0,0.0,0.0,0.0
1.150753768844221,0.044605390876555615,0.3174518009354754,4.293910682068777e-05,4.401468937841117e-05,0.06487345349757773,0.033243355504177355,0.0062445303278267465,0.2700565308498184,1.150753768844221,0.044605390876555656,0.31745180093547587,4.293910682068781e-05,4.40146893784112e-05,0.0,0.0,0.0,0.0
1.1582914572864322,0.04777284964576861,0.33345569964210653,4.747191370035456e-05,4.6226659351288914e-05,0.06869076603803645,0.03423122391212534,0.0065795761505004074,0.27388439865975744,1.1582914572864322,0.04777284964576875,0.3334556996421072,4.747191370035479e-05,4.622665935128902e-05,0.0,0.0,0.0,0.0
1.1658291457286432,0.05089777675827341,0.34864380513883586,5.2184907102397076e-05,4.833039237934792e-05,0.0725663640983826,0.035176767179748825,0.006916936025444586,0.27739118689266057,1.1658291457286432,0.0508977767582733,0.34864380513883564,5.218490710239686e-05,4.8330392379347865e-05,0.0,0.0,0.0,0.0
1.1733668341708543,0.05397966889044736,0.3630599381722377,5.705650126251704e-05,5.033377871784995e-05,0.07650075213818491,0.036082055012280706,0.007256630697168993,0.2806081061849027,1.1733668341708543,0.05397966889044725,0.3630599381722368,5.7056501262516755e-05,5.0333778717849895e-05,0.0,0.0,0.0,0.0
1.1809045226130652,0.05702162263442909,0.37676447569903826,6.2067579408248e-05,5.2246298021544116e-05,0.08049443568980913,0.03694904353152549,0.007598681189449567,0.2835628613290224,1.1809045226130652,0.05702162263442907,0.37676447569903804,6.20675794082481e-05,5.2246298021544143e-05,0.0,0.0,0.0,0.0
1.1884422110552764,0.06002895526595156,0.38982568168872556,6.720220014014015e-05,5.407788595056454e-05,0.08454792135378592,0.03777958217980602,0.007943108807684663,0.28628010128395304,1.1884422110552764,0.06002895526595155,0.3898256816887251,6.720220014014011e-05,5.4077885950564516e-05,0.0,0.0,0.0,0.0
1.1959798994974875,0.06300805868537633,0.4023131222084737,7.244788974996898e-05,5.583814489406821e-05,0.0886617167942281,0.03857542016401365,0.008289935141302152,0.28878180425015426,1.1959798994974875,0.06300805868537632,0.40231312220847393,7.244788974996902e-05,5.583814489406821e-05,0.0,0.0,0.0,0.0
1.2035175879396984,0.06596554254509401,0.41429315136547884,7.779558440923033e-05,5.753585977549071e-05,0.09283633073429606,0.039338212473045524,0.008639182066218009,0.29108760816614926,1.2035175879396984,0.06596554254509393,0.4142931513654782,7.779558440923046e-05,5.75358597754906e-05,0.0,0.0,0.0,0.0
1.2110552763819096,0.06890765961161725,0.4258261882471559,8.323931577609197e-05,5.9178754917483867e-05,0.09707227295171222,0.04006952549931456,0.008990871747346443,0.29321509518354666,1.2110552763819096,0.06890765961161723,0.4258261882471561,8.323931577609179e-05,5.9178754917483867e-05,0.0,0.0,0.0,0.0
1.2185929648241207,0.07183997106256555,0.436965393272035,8.877573976589537e-05,6.077342380749655e-05,0.10137005427432083,0.04077084229263662,0.009345026641162015,0.29518003721497627,1.2185929648241207,0.07183997106256568,0.4369653932720339,8.877573976589549e-05,6.077342380749642e-05,0.0,0.0,0.0,0.0
1.2261306532663316,0.07476719572389758,0.4477563447816899,9.440359757150478e-05,6.232537121956348e-05,0.10573018657569527,0.041443567472617494,0.009701669498313793,0.2969966084561857,1.2261306532663316,0.07476719572389752,0.4477563447816899,9.440359757150474e-05,6.232537121956345e-05,0.0,0.0,0.0,0.0
1.2336683417085428,0.07769318760740095,0.45823736656344716,0.00010012317823584681,6.383911966817852e-05,0.11015318277079059,0.042089031823659105,0.010060823366292302,0.29867756980677446,1.2336683417085428,0.07769318760740102,0.45823736656344805,0.00010012317823584698,6.383911966817855e-05,0.0,0.0,0.0,0.0
