lambda1,P11_Pow(I1),P11_Pow(I2),P11_Cosh(I1),P11_Cosh(I2),P11_Sinh(I1),P11_Sinh(I2),P11_Cosh(I4),P11_Cosh(I6),P11_Sinh(I4),P11_Sinh(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Cosh(I1),P22_Cosh(I2),P22_Sinh(I1),P22_Sinh(I2),P22_Cosh(I4),P22_Cosh(I6),P22_Sinh(I4),P22_Sinh(I6)
1.0484848484848486,0.0002478891879461151,0.0005478697192787161,3.008159847276848e-05,2.629273602730737e-05,2.9768545872278034e-05,2.847697784116223e-05,4.927083542503977e-06,0.00020573666015275428,1.62112236990065e-05,0.014028524106480617,1.0484848484848486,3.718337819191727e-05,8.218045789182296e-05,4.512239770915272e-06,3.943910404096444e-06,4.465281880841705e-06,4.271546676174881e-06,0.0,0.0,0.0,0.0
1.0505050505050506,0.0003052117172778925,0.0006815638632305702,3.6820412359777715e-05,3.265457478670621e-05,3.680872414269194e-05,3.554885074764629e-05,5.158412584305958e-06,0.0002078267826297583,1.6893961124223316e-05,0.014519461833125594,1.0505050505050506,4.5781757591683886e-05,0.00010223457948458553,5.523061853966653e-06,4.8981862180059315e-06,5.521308621403796e-06,5.332327612146944e-06,0.0,0.0,0.0,0.0
1.0525252525252524,0.0003726880081094406,0.0008403911852951418,4.470753273919138e-05,4.020017482062818e-05,4.513047944373003e-05,4.3978456398396694e-05,5.391920203041986e-06,0.0002096208412454777,1.7577276063182688e-05,0.01500410432590022,1.0525252525252524,5.5903201216419425e-05,0.00012605867779427128,6.706129910878707e-06,6.030026223094228e-06,6.769571916559504e-06,6.596768459759504e-06,0.0,0.0,0.0,0.0
1.0545454545454545,0.0004516093665798355,0.001027766424606852,5.388179258222151e-05,4.908825792026815e-05,5.490267160900806e-05,5.395530678994562e-05,5.6276176753689895e-06,0.00021113626281630055,1.8261168068360925e-05,0.015482565215639552,1.0545454545454545,6.774140498697533e-05,0.00015416496369102779,8.082268887333226e-06,7.363238688040224e-06,8.235400741351193e-06,8.093296018491844e-06,0.0,0.0,0.0,0.0
1.0565656565656565,0.0005433713124122728,0.0012474001188150822,6.449242164960026e-05,5.9491032756399966e-05,6.63085122999473e-05,6.568598366966313e-05,5.865516310070895e-06,0.00021238958003206828,1.8945636695454472e-05,0.01595495523920576,1.0565656565656565,8.150569686182462e-05,0.00018711001782222293,9.673863247438237e-06,8.923654913458296e-06,9.946276844990344e-06,9.85289755044711e-06,0.0,0.0,0.0,0.0
1.0585858585858585,0.0006494774281403775,0.0015033099496477834,7.669937600531147e-05,7.159469202394284e-05,7.954615251533817e-05,7.939484823275497e-05,6.105627448101433e-06,0.000213396476095006,1.9630681503377955e-05,0.016421382333267016,1.0585858585858585,9.742161422105663e-05,0.00022549649244716751,1.1504906400796323e-05,1.0739203803591426e-05,1.1931922877300725e-05,1.1909227234913265e-05,0.0,0.0,0.0,0.0
1.0606060606060606,0.0007715431870344708,0.0017998318915567876,9.067366463499701e-05,8.559990045408488e-05,9.482926896691383e-05,9.532474099932104e-05,6.347962462626927e-06,0.00021417182711004924,2.031630205426093e-05,0.0168819517245878,1.0606060606060606,0.00011573147805519074,0.00026997478373356755,1.3601049695252205e-05,1.2839985068115577e-05,1.4224390345039962e-05,1.4298711149901104e-05,0.0,0.0,0.0,0.0
1.0626262626262626,0.000911299760866031,0.002141631161095562,0.00010659767346291628,0.00010172227375408529,0.0001123876493524526,0.00011373767151646337,6.592532759069219e-06,0.0002147297423427424,2.100249791344588e-05,0.017336766016972295,1.0626262626262626,0.00013669496412990466,0.00032124467416430656,1.598965101943744e-05,1.5258341063111164e-05,1.6858147402867893e-05,1.706065072746621e-05,0.0,0.0,0.0,0.0
1.0646464646464646,0.0010705978087024236,0.0025337129655848925,0.00012466548706551172,0.00012019284858518521,0.00013246777657487905,0.00013491549759520998,6.83934977514876e-06,0.00021508360245466664,2.168926864948512e-05,0.017785925274996013,1.0646464646464646,0.00016058967130536353,0.0003800569448377944,1.869982305982997e-05,1.8028927287781287e-05,1.9870166486230958e-05,2.023732463928521e-05,0.0,0.0,0.0,0.0
1.0666666666666667,0.0012514112479690652,0.00298143305041962,0.0001450832083848595,0.0001412585437363734,0.0001553334119704982,0.00015916059385044228,7.088424980927759e-06,0.00021524609582048462,2.2376613834139175e-05,0.018229527104654905,1.0666666666666667,0.0001877116871953466,0.0004472149575628309,2.176248125772778e-05,2.1188781560450182e-05,2.3300011795573792e-05,2.387408907756062e-05,0.0,0.0,0.0,0.0
1.0686868686868687,0.001455841009043864,0.0034905080450342795,0.0001680692767501888,0.00016518261269435504,0.00018126617762194834,0.00018679650936250305,7.3397698788535295e-06,0.00021522925302514535,2.3064533042373907e-05,0.018667666731055847,1.0686868686868687,0.0002183761513566021,0.0005235762067552197,2.5210391512529625e-05,2.47773919041544e-05,2.718992664329442e-05,2.8019476404377262e-05,0.0,0.0,0.0,0.0
1.0707070707070707,0.0016861187746913576,0.004067025608237477,0.00019385478452413953,0.00019224508785668087,0.00021056613784433884,0.0002181686143309089,7.593396003801884e-06,0.00021504447963455759,2.375302585235845e-05,0.019100437073267182,1.0707070707070707,0.00025291781620367926,0.0006100538412355794,2.9078217678619543e-05,2.8836763178499668e-05,3.1584920676648466e-05,3.272529214963432e-05,0.0,0.0,0.0,0.0
1.0727272727272728,0.0019446107056459317,0.0047174543740660544,0.0002226837926963514,0.0002227432166710545,0.00024355237994170992,0.000253644735628201,7.84931492312077e-06,0.00021470258732809574,2.444209184546348e-05,0.019527928816442212,1.0727272727272728,0.0002916916058468984,0.0007076181561098138,3.340256890445351e-05,3.341148250065547e-05,3.653285699125786e-05,3.8046710344228007e-05,0.0,0.0,0.0,0.0
1.0747474747474748,0.0022338211536970186,0.005448653699908908,0.00025481364575846455,0.00025699189003032806,0.0002805635943430554,0.00029361578120802405,8.107538236673911e-06,0.0002142138234766292,2.5131730606258395e-05,0.01995023048132475,1.0747474747474748,0.0003350731730545431,0.0008172980549863363,3.822204686376889e-05,3.8548783504549215e-05,4.2084539151458314e-05,4.404236718120361e-05,0.0,0.0,0.0,0.0
1.0767676767676768,0.0025563963636143455,0.006267883218964469,0.00029051528620274784,0.00029532406328737216,0.00032195865423302746,0.0003384963533519483,8.368077576884629e-06,0.00021358789924535177,2.5821941722509905e-05,0.02036742849124036,1.0767676767676768,0.000383459454542141,0.0009401824828445571,4.357729293041217e-05,4.429860949309958e-05,4.8293798134955675e-05,5.077445300278816e-05,0.0,0.0,0.0,0.0
1.0787878787878789,0.002915128165282549,0.0071828121995313925,0.00033007356899996234,0.00033809117029719404,0.00036811719480318606,0.000388725350776907,8.630944608779883e-06,0.00021283401629651485,2.6512724785179864e-05,0.020779607236672964,1.0787878787878789,0.00043726922479238236,0.001077421829929709,4.951103534999342e-05,5.0713675544579105e-05,5.521757922047957e-05,5.830880261653605e-05,0.0,0.0,0.0,0.0
1.0808080808080809,0.0033129576574084385,0.008201528713936757,0.0003737875764242229,0.00038566353093276483,0.0004194401922559823,0.00044476655965546333,8.896151030034276e-06,0.00021196089216322543,2.7204079388423426e-05,0.02118684913752187,1.0808080808080809,0.0004969436486112783,0.0012302293070905112,5.6068136463633436e-05,5.784952963991473e-05,6.291602883839735e-05,6.67149839483195e-05,0.0,0.0,0.0,0.0
1.0828282828282827,0.0037529788841656362,0.009332548620155394,0.00042197093360714827,0.00043843075256018346,0.0004763505427016079,0.0005071092336291957,9.163708571014338e-06,0.00021097678436173898,2.7896005129587475e-05,0.02158923470313108,1.0828282828282827,0.0005629468326248324,0.0013998822930233802,6.329564004107336e-05,6.576461288402759e-05,7.145258140523924e-05,7.606638504437936e-05,0.0,0.0,0.0,0.0
1.0848484848484847,0.004238442506151657,0.010584824359458341,0.00047495212522034267,0.0004968021260021271,0.0005392936410964673,0.000576268662926585,9.433628994822952e-06,0.00020988951330615357,2.858850160920867e-05,0.021986842590177635,1.0848484848484847,0.0006357663759227198,0.0015877236539186756,7.12428187830478e-05,7.45203189003188e-05,8.089404616446586e-05,8.644029943898749e-05,0.0,0.0,0.0,0.0
1.0868686868686868,0.004772759467017758,0.011967753573591337,0.0005330748137015118,0.0005612070165586846,0.0006087379603786946,0.0006527867327224944,9.705924097343744e-06,0.00020870648408607747,2.9281568431011983e-05,0.02237974965850309,1.0868686868686868,0.0007159139200526332,0.001795163036038614,7.996122205522416e-05,8.418105248379757e-05,9.13106940567996e-05,9.791800990836805e-05,0.0,0.0,0.0,0.0
1.0888888888888888,0.005359504657136282,0.013491187545189328,0.0005966981594604554,0.0006320952506994761,0.000685175630966027,0.0007372324709058381,9.980605707285792e-06,0.00020743470716468574,2.9975205201908915e-05,0.022768031024968702,1.0888888888888888,0.0008039256985704757,0.002023678131778517,8.950472391907248e-05,9.481428760492656e-05,0.00010277634464490905,0.00011058487063588223,0.0,0.0,0.0,0.0
